Tree ID;Species Name;DBH (cm);Replacement Value (€);Carbon Storage (kg);Carbon Storage (€);Gross Carbon Sequestration (kg/yr);Gross Carbon Sequestration (€/yr);Avoided Runoff (m^3/yr);Avoided Runoff (€/yr);Carbon Avoided (kg/yr);Carbon Avoided (€/yr);Pollution Removal (g/yr);Pollution Removal (€/yr);Energy Savings (€/yr);Total Annual Benefits (€/yr)
3223577;Rhus typhina;23,3;1 026,38;57,2;9,19;3,2;0,51;0,2;0,31;N/A;N/A;36,6;0,15;N/A;0,98
3223578;Rhus typhina;9,3;240,81;6,9;1,10;1,0;0,16;0,1;0,12;N/A;N/A;13,9;0,06;N/A;0,33
3223579;Sambucus nigra;13,7;568,30;55,3;8,88;3,5;0,57;0,1;0,10;N/A;N/A;11,5;0,05;N/A;0,71
3223582;Prunus avium;22,0;836,12;145,0;23,30;9,1;1,46;0,3;0,55;N/A;N/A;65,1;0,27;N/A;2,28
3223583;Acer platanoides;14,4;598,90;53,4;8,58;6,0;0,97;0,1;0,27;N/A;N/A;31,5;0,13;N/A;1,37
3223589;Malus;22,0;950,43;131,3;21,09;8,2;1,32;0,2;0,38;N/A;N/A;45,0;0,19;N/A;1,89
3223590;Malus;20,1;847,27;105,2;16,91;7,2;1,16;0,2;0,33;N/A;N/A;38,7;0,16;N/A;1,65
3223591;Malus;17,2;707,77;71,9;11,55;5,8;0,93;0,1;0,25;N/A;N/A;30,0;0,13;N/A;1,31
3223594;Picea abies;49,1;3 630,65;707,8;113,72;11,3;1,82;2,1;3,91;N/A;N/A;463,8;1,96;N/A;7,69
3223858;Prunus avium;17,2;649,95;79,6;12,80;6,4;1,03;0,2;0,35;N/A;N/A;41,5;0,18;N/A;1,55
3223859;Juglans regia;16,0;629,43;35,4;5,68;4,0;0,64;0,3;0,52;N/A;N/A;61,5;0,26;N/A;1,42
3224187;Prunus cerasifera;19,8;745,13;112,2;18,03;7,8;1,25;0,3;0,63;N/A;N/A;74,2;0,31;N/A;2,19
